Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
NORMANBY,0.758,0.782,0.809,0.839,0.87,0.901,0.934,0.975,1.019,1.059,1.104,1.153,1.194,1.246,1.296,1.352,1.408,1.468,1.527,1.589,1.648,1.711,1.774,1.83,1.895,1.957,1.957,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NORMANTON,1.386,1.496,1.623,1.762,1.907,2.054,2.205,2.397,2.604,2.791,3,3.227,3.418,3.66,3.896,4.155,4.418,4.696,4.973,5.262,5.539,5.831,6.124,6.389,6.69,6.982,6.982,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NORTH AVENUE,1.3,1.411,1.54,1.68,1.826,1.975,2.127,2.321,2.53,2.718,2.929,3.159,3.352,3.596,3.834,4.095,4.36,4.641,4.921,5.213,5.492,5.787,6.083,6.35,6.654,6.948,6.948,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NORTH THORESBY,0.573,0.603,0.638,0.676,0.716,0.757,0.798,0.851,0.907,0.959,1.016,1.079,1.131,1.197,1.262,1.333,1.405,1.482,1.558,1.637,1.713,1.793,1.874,1.947,2.029,2.109,2.109,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NORWOOD,2.192,2.406,2.651,2.92,3.2,3.484,3.776,4.146,4.546,4.906,5.311,5.749,6.119,6.586,7.042,7.541,8.049,8.586,9.122,9.681,10.215,10.779,11.345,11.857,12.439,13.002,13.002,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
OAKES ROAD,1.221,1.35,1.5,1.663,1.833,2.006,2.184,2.409,2.652,2.871,3.117,3.384,3.609,3.893,4.17,4.474,4.783,5.11,5.436,5.776,6.1,6.444,6.788,7.099,7.453,7.796,7.796,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
OAKWOOD LANE,0.505,0.595,0.698,0.811,0.929,1.049,1.172,1.328,1.496,1.648,1.818,2.003,2.159,2.355,2.547,2.758,2.972,3.198,3.424,3.659,3.884,4.122,4.36,4.576,4.821,5.058,5.058,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
ODSAL,1.024,1.144,1.281,1.432,1.589,1.748,1.911,2.119,2.343,2.545,2.771,3.017,3.224,3.486,3.741,4.021,4.306,4.607,4.907,5.22,5.519,5.835,6.152,6.439,6.765,7.081,7.081,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
OLYMPIA MILLS,0.616,0.765,0.936,1.123,1.318,1.516,1.719,1.977,2.256,2.507,2.788,3.094,3.351,3.676,3.994,4.342,4.696,5.07,5.443,5.832,6.204,6.597,6.992,7.348,7.753,8.145,8.145,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
ORGREAVE,0.896,0.952,1.016,1.086,1.159,1.233,1.309,1.405,1.51,1.604,1.709,1.823,1.92,2.041,2.16,2.29,2.423,2.563,2.702,2.848,2.987,3.134,3.282,3.415,3.567,3.713,3.713,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
OUTWOOD,1.264,1.382,1.519,1.668,1.823,1.981,2.142,2.348,2.57,2.77,2.994,3.238,3.442,3.702,3.955,4.232,4.514,4.812,5.108,5.419,5.715,6.028,6.342,6.626,6.949,7.261,7.261,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
PARK HILL,0.253,0.305,0.366,0.432,0.501,0.571,0.643,0.734,0.832,0.921,1.021,1.129,1.22,1.335,1.447,1.57,1.695,1.828,1.959,2.097,2.229,2.368,2.507,2.633,2.777,2.915,2.915,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
