Primary,2023/24,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
HARLOW GREEN	15.252	15.552	15.552	15.796	16.028	16.332	16.751	17.261	18.157	19.116	20.068	20.962	21.911	23.005	24.128	25.263	26.482	27.255	28.152	29.018	29.828	30.538	31.149	31.647	32.348	33.017	33.019	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HARMIRE BRIDGE	15.13	15.13	15.13	15.472	15.799	16.121	16.5	17.127	17.938	18.75	19.718	20.929	21.998	23.195	24.424	25.675	26.972	27.721	28.044	28.311	28.485	28.614	28.707	28.755	28.955	29.169	29.195	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HARRATON	16.406	18.428	18.428	18.46	18.542	18.653	18.814	19.079	19.485	19.917	20.341	20.717	21.118	21.599	22.108	22.616	23.163	23.504	23.907	24.284	24.635	24.94	25.2	25.415	25.726	26.026	25.994	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HARROGATE 132/11KV	27.92	28.404	28.404	28.833	29.331	29.919	30.67	31.592	32.709	33.913	35.118	36.281	37.495	38.881	40.263	41.628	43.061	43.953	44.817	45.607	46.327	46.95	47.484	47.893	48.569	49.231	49.271	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HARROGATE WEST	10.824	10.824	10.824	10.844	10.894	10.959	11.051	11.182	11.378	11.594	11.806	11.996	12.207	12.463	12.727	12.994	13.284	13.469	13.67	13.86	14.038	14.198	14.339	14.457	14.63	14.8	14.804	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HARTMOOR 66/20KV	20.499	20.724	20.724	21.246	21.749	22.288	22.94	23.984	25.124	26.334	27.579	28.816	30.068	31.573	33.117	34.661	36.304	37.294	38.167	38.971	39.684	40.299	40.824	41.245	41.977	42.712	42.754	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HAWTHORN PIT	23.209	25.007	25.007	25.778	26.534	27.308	28.212	29.681	31.236	32.85	34.525	36.228	37.904	39.894	41.986	44.07	46.263	47.58	48.638	49.628	50.505	51.258	51.903	52.43	53.298	54.175	54.251	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HAXBY ROAD T2 T3	11.991	11.991	11.991	12.27	12.581	12.933	13.376	13.894	14.748	15.644	16.501	17.264	18.083	19.007	19.947	20.889	21.885	22.509	23.248	23.949	24.611	25.191	25.697	26.105	26.68	27.232	27.216	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HEBBURN	3.523	3.523	3.523	3.6	3.712	3.842	3.995	4.213	4.404	4.617	4.821	4.992	5.171	5.383	5.6	5.801	6.005	6.147	6.291	6.422	6.542	6.648	6.742	6.822	6.932	7.043	7.052	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HEBBURN WEST	2.631	2.928	2.928	2.911	2.899	2.89	2.887	2.892	2.893	2.896	2.901	2.904	2.91	2.919	2.931	2.944	2.958	2.965	2.971	2.976	2.981	2.985	2.987	2.987	2.99	2.994	2.989	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HEDWORTH	13.01	15.703	15.703	15.875	16.068	16.299	16.608	17.077	17.755	18.458	19.15	19.788	20.447	21.216	22.019	22.821	23.679	24.239	24.873	25.466	26.021	26.508	26.932	27.28	27.769	28.24	28.254	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HEIGHINGTON	12.88	12.88	12.88	12.718	12.569	12.432	12.311	12.197	12.09	11.988	11.893	11.804	11.718	11.637	11.559	11.485	11.414	11.344	11.276	11.21	11.146	11.082	11.02	10.96	10.899	10.84	10.779	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HEXHAM	22.15	22.45	22.45	22.538	22.627	22.734	22.909	23.254	23.736	24.23	24.786	25.432	26.032	26.727	27.447	28.178	28.945	29.361	29.618	29.836	29.996	30.116	30.2	30.238	30.388	30.541	30.482	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HIGH BARMSTON	18.642	18.642	18.642	18.823	19.091	19.446	19.91	20.582	21.41	22.281	23.149	23.923	24.694	25.557	26.432	27.259	28.093	28.65	29.249	29.792	30.278	30.69	31.04	31.327	31.732	32.121	32.088	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HIGH FLATTS	15.805	16.251	16.251	16.632	16.997	17.392	17.885	18.645	19.671	20.721	21.755	22.731	23.729	24.898	26.091	27.288	28.565	29.354	30.187	30.987	31.726	32.372	32.931	33.39	34.059	34.711	34.738	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
HOUGHTON	18.68	19.17	19.17	19.652	20.12	20.635	21.261	22.283	23.275	24.322	25.38	26.395	27.421	28.655	29.949	31.216	32.553	33.392	34.149	34.865	35.516	36.082	36.572	36.975	37.605	38.241	38.284	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
