Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
STATION ROAD,2.318,2.352,2.373,2.393,2.418,2.459,2.502,2.565,2.652,2.694,2.78,2.851,2.876,2.942,3,3.075,3.148,3.247,3.36,3.51,3.635,3.803,3.986,4.093,4.291,4.462,4.68,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
STEVENSON ROAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
STOKE STREET,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.013,0.013,0.014,0.014,0.015,0.016,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
STOURTON 132/11KV,0.033,0.034,0.034,0.034,0.035,0.035,0.036,0.037,0.039,0.039,0.041,0.042,0.042,0.043,0.044,0.046,0.047,0.048,0.05,0.053,0.055,0.057,0.06,0.062,0.065,0.068,0.072,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
STOURTON 33/11KV,0.532,0.541,0.546,0.551,0.557,0.567,0.578,0.594,0.615,0.626,0.647,0.665,0.671,0.687,0.701,0.72,0.738,0.763,0.791,0.828,0.859,0.901,0.946,0.973,1.022,1.065,1.119,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
STOW,0.554,0.557,0.558,0.56,0.562,0.565,0.568,0.573,0.58,0.583,0.59,0.595,0.597,0.602,0.607,0.613,0.618,0.626,0.634,0.646,0.656,0.669,0.683,0.691,0.706,0.72,0.736,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SWAN BANK LANE,0.495,0.508,0.516,0.524,0.534,0.55,0.568,0.593,0.627,0.644,0.678,0.706,0.716,0.742,0.765,0.795,0.823,0.863,0.908,0.967,1.017,1.083,1.156,1.198,1.277,1.345,1.431,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SWEET STREET,0.069,0.071,0.073,0.074,0.076,0.078,0.081,0.085,0.09,0.093,0.098,0.103,0.104,0.109,0.112,0.117,0.122,0.128,0.135,0.145,0.152,0.163,0.175,0.181,0.194,0.205,0.218,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SWINNOW MOOR,1.03,1.051,1.063,1.076,1.092,1.116,1.143,1.182,1.236,1.262,1.315,1.359,1.374,1.415,1.451,1.498,1.542,1.604,1.674,1.766,1.843,1.948,2.061,2.126,2.249,2.355,2.489,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
TADCASTER,0.942,0.958,0.968,0.978,0.99,1.009,1.03,1.061,1.103,1.123,1.165,1.2,1.211,1.244,1.271,1.308,1.343,1.391,1.446,1.518,1.579,1.66,1.749,1.8,1.896,1.979,2.085,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
