Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
TINSLEY PARK ROAD,0.07,0.078,0.087,0.097,0.108,0.119,0.13,0.144,0.159,0.172,0.188,0.204,0.218,0.236,0.253,0.272,0.291,0.311,0.332,0.353,0.373,0.394,0.416,0.435,0.457,0.478,0.478,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
TINSLEY WIRE INDUSTRIES,0.254,0.274,0.298,0.323,0.349,0.376,0.403,0.438,0.476,0.509,0.547,0.589,0.623,0.667,0.71,0.757,0.805,0.855,0.906,0.958,1.008,1.061,1.115,1.163,1.217,1.27,1.27,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
TIVERTON ROAD,2.215,2.319,2.439,2.57,2.706,2.845,2.987,3.168,3.363,3.539,3.737,3.951,4.131,4.359,4.582,4.825,5.074,5.336,5.597,5.87,6.131,6.406,6.682,6.932,7.216,7.491,7.491,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
TODMORDEN,0.747,0.841,0.95,1.069,1.193,1.319,1.448,1.612,1.789,1.948,2.127,2.322,2.485,2.692,2.894,3.115,3.34,3.578,3.814,4.062,4.298,4.548,4.799,5.025,5.283,5.532,5.532,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
TOLLER LANE,0.388,0.488,0.603,0.729,0.861,0.994,1.131,1.305,1.493,1.662,1.852,2.058,2.232,2.451,2.665,2.9,3.138,3.391,3.642,3.905,4.155,4.421,4.686,4.927,5.2,5.465,5.465,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
TONG STREET,0.781,0.835,0.896,0.964,1.034,1.105,1.178,1.271,1.372,1.462,1.564,1.674,1.766,1.884,1.998,2.123,2.251,2.386,2.52,2.66,2.794,2.936,3.078,3.206,3.352,3.494,3.494,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
UPPER BASINGHALL STREET,0,0.005,0.012,0.019,0.026,0.033,0.04,0.05,0.06,0.069,0.08,0.091,0.1,0.112,0.124,0.137,0.15,0.163,0.177,0.191,0.205,0.219,0.234,0.247,0.262,0.276,0.276,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
VARLEY STREET,0.734,0.844,0.971,1.11,1.255,1.402,1.553,1.744,1.951,2.138,2.347,2.574,2.765,3.007,3.243,3.501,3.764,4.042,4.319,4.609,4.885,5.177,5.47,5.734,6.036,6.327,6.327,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
VICTORIA STREET,0.113,0.135,0.161,0.19,0.219,0.249,0.28,0.319,0.362,0.4,0.443,0.489,0.528,0.578,0.626,0.679,0.732,0.789,0.846,0.905,0.961,1.021,1.081,1.135,1.197,1.256,1.256,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
WALESBY,1.301,1.325,1.353,1.384,1.416,1.449,1.482,1.524,1.57,1.611,1.658,1.708,1.75,1.804,1.856,1.913,1.971,2.032,2.094,2.158,2.219,2.283,2.348,2.406,2.473,2.537,2.537,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
WARREN LANE,0.398,0.426,0.459,0.495,0.532,0.57,0.609,0.658,0.712,0.76,0.814,0.872,0.921,0.984,1.044,1.111,1.179,1.25,1.322,1.396,1.467,1.543,1.618,1.686,1.764,1.839,1.839,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
WATH UPON DEARNE,0.885,0.967,1.062,1.166,1.273,1.383,1.495,1.638,1.792,1.931,2.087,2.256,2.399,2.579,2.754,2.947,3.143,3.35,3.556,3.772,3.978,4.195,4.413,4.611,4.835,5.052,5.052,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
WAVERLEY BUSINESS PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
WAWNE ROAD,1.332,1.408,1.495,1.591,1.691,1.792,1.896,2.027,2.17,2.298,2.442,2.598,2.73,2.896,3.058,3.236,3.417,3.608,3.799,3.998,4.188,4.389,4.591,4.773,4.98,5.18,5.18,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
WEELAND ROAD,0.701,0.744,0.794,0.848,0.905,0.962,1.021,1.096,1.177,1.25,1.332,1.421,1.496,1.591,1.683,1.784,1.887,1.996,2.104,2.217,2.326,2.44,2.555,2.658,2.776,2.89,2.89,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
WELLINGTON STREET,0.617,0.697,0.79,0.891,0.996,1.103,1.212,1.351,1.502,1.637,1.789,1.954,2.093,2.269,2.44,2.628,2.819,3.021,3.222,3.432,3.633,3.845,4.058,4.25,4.469,4.68,4.68,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
WESLEY CRESCENT,1.655,1.797,1.961,2.14,2.327,2.517,2.712,2.959,3.226,3.467,3.737,4.03,4.277,4.589,4.893,5.227,5.566,5.924,6.282,6.655,7.012,7.389,7.767,8.108,8.497,8.873,8.873,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
WEST DOCKS,0.019,0.021,0.024,0.027,0.03,0.033,0.036,0.04,0.044,0.048,0.053,0.058,0.062,0.067,0.072,0.077,0.083,0.089,0.095,0.101,0.107,0.113,0.119,0.125,0.131,0.137,0.137,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
