Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
TANKERSLEY PARK,621,1031,1529,2097,2719,3382,4173,4933,5671,6379,7051,7680,8275,8824,9325,9768,10163,10489,10764,10994,11188,11347,11462,11558,11638,11708,11708,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TEMPLEBOROUGH 33/11KV,440,729,1079,1476,1911,2375,2928,3461,3977,4473,4943,5383,5799,6183,6533,6844,7120,7348,7541,7702,7838,7949,8030,8097,8153,8201,8201,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
THORNBURY,357,641,1022,1492,2002,2545,3192,3815,4420,5001,5552,6070,6569,7021,7431,7796,8120,8383,8604,8794,8953,9084,9178,9256,9321,9378,9378,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
THORNE,3080,4345,5257,5726,6309,6943,7713,8443,9142,9811,10445,10999,11378,11881,12342,12749,13112,13500,13820,14032,14208,14355,14460,14572,14648,14718,14718,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
THORNTON,838,1408,2110,2921,3809,4754,5883,6968,8021,9032,9991,10889,11742,12527,13241,13874,14438,14902,15292,15621,15898,16125,16289,16426,16541,16639,16639,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
THORPE ROAD,280,465,688,941,1218,1514,1867,2207,2536,2852,3152,3433,3698,3944,4167,4365,4541,4687,4809,4912,4999,5070,5121,5164,5200,5231,5231,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TICKHILL ROAD,771,1274,1877,2560,3308,4106,5058,5974,6862,7714,8523,9279,9993,10655,11257,11791,12266,12659,12990,13268,13500,13692,13831,13947,14043,14126,14126,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TINGLEY,766,1228,1754,2321,2946,3613,4410,5175,5917,6629,7304,7934,8522,9074,9576,10021,10418,10750,11030,11261,11455,11615,11731,11829,11909,11979,11979,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TINSLEY PARK ROAD,31,56,88,128,171,216,271,324,375,424,470,514,556,594,629,660,687,709,728,744,758,769,777,783,789,793,793,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TINSLEY WIRE INDUSTRIES,78,138,219,317,425,539,675,806,933,1055,1171,1280,1384,1479,1566,1642,1710,1766,1812,1852,1885,1913,1933,1949,1963,1975,1975,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
