Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
THORPE ROAD,280,368,474,600,753,939,1131,1348,1587,1845,2122,2419,2748,3090,3436,3779,4068,4342,4596,4825,5029,5208,5323,5364,5403,5439,5474,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TICKHILL ROAD,771,1008,1293,1632,2044,2544,3064,3649,4293,4989,5736,6538,7424,8349,9281,10206,10987,11727,12411,13031,13581,14064,14373,14484,14588,14687,14782,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TINGLEY,766,972,1209,1483,1817,2231,2663,3152,3693,4277,4905,5579,6325,7103,7888,8667,9323,9945,10521,11041,11504,11910,12169,12261,12348,12430,12509,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TINSLEY PARK ROAD,31,44,61,81,106,135,165,199,236,275,318,364,414,466,519,572,616,659,698,733,764,792,809,816,822,828,833,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TINSLEY WIRE INDUSTRIES,78,109,151,202,263,336,411,494,586,685,791,905,1030,1161,1293,1424,1534,1639,1736,1824,1902,1970,2014,2030,2045,2060,2073,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TIVERTON ROAD,542,701,889,1110,1379,1708,2051,2437,2863,3322,3817,4347,4934,5545,6162,6775,7291,7780,8233,8643,9007,9326,9530,9603,9672,9737,9800,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TODMORDEN,422,576,771,1008,1294,1635,1989,2384,2819,3287,3790,4329,4924,5545,6171,6792,7317,7815,8275,8691,9061,9386,9594,9669,9740,9807,9872,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TOLLER LANE,477,640,844,1090,1387,1744,2114,2528,2984,3476,4004,4570,5195,5847,6505,7158,7709,8231,8715,9152,9540,9881,10100,10179,10253,10323,10390,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TONG STREET,180,262,373,510,674,867,1067,1288,1531,1792,2073,2373,2704,3049,3397,3742,4035,4312,4568,4800,5006,5187,5303,5346,5385,5423,5459,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
UPPER BASINGHALL STREET,9,17,28,43,61,81,102,124,149,176,205,235,269,304,339,374,404,432,458,482,503,521,533,538,542,546,549,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
VARLEY STREET,652,842,1067,1330,1651,2044,2452,2913,3422,3971,4561,5194,5894,6625,7362,8093,8709,9294,9834,10323,10758,11139,11383,11470,11552,11630,11705,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
VICTORIA STREET,106,143,189,245,312,394,478,572,675,787,907,1035,1177,1325,1474,1622,1747,1866,1976,2075,2163,2240,2290,2308,2325,2341,2356,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WALESBY,243,335,454,599,774,983,1198,1439,1703,1987,2293,2621,2982,3359,3739,4116,4435,4737,5017,5270,5495,5692,5818,5864,5908,5948,5987,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WARREN LANE,256,311,367,429,505,604,708,828,960,1104,1259,1426,1611,1804,1999,2192,2354,2508,2651,2780,2894,2994,3058,3080,3101,3121,3140,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WATH UPON DEARNE,353,482,647,847,1087,1375,1674,2006,2373,2767,3191,3645,4146,4669,5196,5719,6161,6581,6968,7319,7630,7904,8079,8143,8203,8259,8313,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WAVERLEY BUSINESS PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WAWNE ROAD,395,510,647,808,1005,1244,1494,1775,2085,2420,2780,3167,3594,4039,4489,4935,5311,5667,5997,6295,6560,6793,6942,6995,7045,7093,7138,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WEELAND ROAD,178,245,332,437,564,715,872,1046,1238,1445,1667,1905,2168,2441,2718,2992,3223,3443,3646,3830,3993,4137,4228,4262,4293,4323,4351,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WELLINGTON STREET,347,473,633,827,1061,1342,1632,1956,2312,2697,3109,3551,4039,4548,5062,5571,6002,6410,6788,7129,7432,7699,7869,7931,7989,8044,8097,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WESLEY CRESCENT,571,752,973,1236,1555,1941,2342,2793,3289,3825,4400,5017,5699,6410,7128,7840,8440,9010,9537,10014,10437,10809,11047,11132,11213,11289,11362,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WEST DOCKS,4,7,12,17,24,32,40,48,58,68,79,91,103,117,130,144,155,166,176,185,193,200,205,206,208,209,211,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WEST END LANE,703,928,1203,1531,1929,2410,2910,3472,4090,4757,5474,6243,7092,7978,8871,9758,10506,11216,11872,12466,12993,13456,13752,13859,13959,14054,14145,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WEST MOOR PARK,323,410,510,627,769,944,1128,1335,1564,1812,2078,2364,2680,3010,3343,3673,3951,4215,4459,4680,4876,5048,5158,5197,5234,5269,5303,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WEST PARK,720,886,1066,1265,1511,1823,2151,2526,2941,3391,3875,4396,4972,5574,6181,6783,7290,7770,8214,8616,8973,9287,9486,9556,9621,9684,9745,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WESTCOTT STREET,592,820,1115,1475,1909,2425,2959,3554,4209,4913,5670,6481,7375,8308,9249,10183,10972,11720,12412,13039,13595,14083,14396,14510,14617,14718,14815,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WETHERBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WHEATACRE ROAD,570,719,889,1084,1323,1620,1929,2281,2669,3089,3540,4025,4562,5122,5686,6246,6718,7166,7579,7954,8286,8579,8765,8831,8893,8952,9009,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
